ID_Cliente,Edad,Ingresos,Visitas_Web,Tiempo_Web,Tours_Vistos,Promociones_Usadas,Reservo_Tour,Monto_Pagado
CL00176,45,2543,4,10.3,8,4,1,2383.9
CL00177,42,1271,19,6.41,1,0,0,0.0
CL00178,56,6295,5,27.27,2,0,0,0.0
CL00179,50,5076,16,26.7,5,0,1,1231.72
CL00180,18,6902,5,13.96,3,3,0,0.0
CL00181,44,3709,16,4.04,7,4,0,0.0
CL00182,30,6221,4,0.4,6,4,0,0.0
CL00183,58,9529,16,13.15,2,2,0,0.0
CL00184,20,7722,16,1.2,8,4,1,3874.99
CL00185,56,9201,12,18.29,5,2,0,0.0
CL00186,23,5144,6,18.25,6,3,0,0.0
CL00187,25,6606,5,26.97,8,2,1,1945.47
CL00188,44,7766,13,5.7,6,0,0,0.0
CL00189,26,1730,15,11.14,3,2,0,0.0
CL00190,54,5890,2,25.79,7,2,0,0.0
CL00191,50,2648,8,14.23,4,2,1,1848.79
CL00192,59,5228,14,1.79,6,4,0,0.0
CL00193,61,3130,17,3.32,6,1,0,0.0
CL00194,41,5366,9,24.4,5,1,1,2889.59
CL00195,32,2506,9,22.31,1,1,1,3275.31
CL00196,49,3158,2,26.28,8,4,1,2322.87
CL00197,49,3916,0,3.57,2,0,1,2671.1
CL00198,41,4229,2,22.81,4,1,1,1653.32
CL00199,58,7265,4,19.65,3,1,0,0.0
CL00200,29,5136,6,6.97,6,3,0,0.0
CL00201,56,3689,2,29.22,1,3,0,0.0
CL00202,19,8190,3,17.11,9,0,1,3075.16
CL00203,20,3810,16,27.21,5,2,1,2632.59
CL00204,54,7152,2,25.77,5,2,1,1756.59
CL00205,34,1012,3,9.99,4,3,0,0.0
CL00206,19,6938,1,16.08,4,3,1,1249.12
CL00207,19,8999,13,12.94,1,0,1,2560.17
CL00208,45,8219,4,21.27,9,0,0,0.0
CL00209,40,6328,1,17.64,9,4,0,0.0
CL00210,54,4621,14,23.55,4,2,1,2314.1
CL00211,49,4683,10,0.35,4,4,1,1517.44
CL00212,50,8872,9,20.63,7,1,1,3498.9
CL00213,18,6310,19,9.57,4,0,1,2958.14
CL00214,36,1652,0,6.73,1,2,1,810.54
CL00215,19,6799,18,24.04,9,2,1,3409.82
CL00216,61,9812,13,2.68,2,4,0,0.0
CL00217,43,4790,13,6.85,5,3,0,0.0
CL00218,49,2645,0,6.11,4,3,1,625.76
CL00219,23,5512,8,12.59,8,0,0,0.0
CL00220,49,5759,16,9.67,6,3,1,1181.92
CL00221,21,6874,13,21.61,7,1,0,0.0
CL00222,28,4688,12,20.98,2,2,1,1831.43
CL00223,34,8689,12,9.76,4,3,0,0.0
CL00224,55,2379,5,13.11,4,0,0,0.0
CL00225,41,5243,6,6.24,2,1,1,2949.36
CL00226,22,7507,1,20.13,4,4,1,1628.6
CL00227,51,8819,7,11.89,9,4,1,3209.56
CL00228,23,9593,5,3.98,8,1,1,2768.52
CL00229,39,3653,2,3.82,1,0,0,0.0
CL00230,28,6611,17,9.67,8,4,0,0.0
CL00231,33,7127,17,22.42,9,2,0,0.0
CL00232,50,4923,5,0.77,8,2,0,0.0
CL00233,26,9459,10,7.73,1,0,0,0.0
CL00234,23,6912,2,4.87,8,0,1,3129.17
CL00235,33,6130,15,28.69,5,2,0,0.0
CL00236,46,6439,4,21.16,9,0,0,0.0
CL00237,20,8880,1,7.0,9,1,0,0.0
CL00238,37,7449,14,6.22,6,0,0,0.0
CL00239,53,2725,15,25.74,3,2,1,1171.52
CL00240,36,8522,6,5.71,7,3,1,1689.31
CL00241,43,5784,15,29.91,3,0,1,2737.15
CL00242,20,2232,3,8.47,7,4,0,0.0
CL00243,36,9808,15,2.53,8,1,0,0.0
CL00244,37,9338,16,20.73,5,1,0,0.0
CL00245,49,8446,1,18.29,5,1,1,1729.25
CL00246,24,5616,15,29.99,4,4,0,0.0
CL00247,58,5725,3,24.06,3,4,0,0.0
CL00248,50,4677,6,12.87,8,1,0,0.0
CL00249,57,7287,17,20.3,6,1,0,0.0
CL00250,56,9480,5,24.54,6,1,0,0.0
CL00251,35,2409,17,15.41,2,0,0,0.0
CL00252,57,9205,6,8.19,4,4,1,1674.59
CL00253,18,1256,1,6.3,5,2,0,0.0
CL00254,28,2721,18,8.86,5,0,0,0.0
CL00255,45,2423,8,25.44,3,2,1,2809.26
CL00256,42,5953,3,11.41,5,0,0,0.0
CL00257,40,3990,13,8.6,5,0,1,1593.87
CL00258,48,2195,4,24.18,2,2,1,2875.31
CL00259,47,5559,6,0.96,5,1,0,0.0
CL00260,59,5365,7,17.82,3,2,0,0.0
CL00261,52,2244,14,26.21,3,3,1,1118.09
CL00262,24,7766,18,12.3,5,4,0,0.0
CL00263,33,6302,10,8.08,9,3,0,0.0
CL00264,43,2306,19,14.75,2,0,0,0.0
CL00265,19,3402,3,21.52,9,2,0,0.0
CL00266,18,1496,17,15.5,3,1,1,2923.25
CL00267,29,4399,13,0.23,7,1,0,0.0
CL00268,22,1909,5,2.35,1,3,1,3157.76
CL00269,54,1372,15,21.64,1,3,0,0.0
CL00270,49,7236,17,12.0,8,0,1,1824.58
CL00271,26,2344,0,23.54,9,4,0,0.0
CL00272,58,9515,7,19.48,3,0,0,0.0
CL00273,52,3431,0,17.45,6,1,1,3240.85
CL00274,36,5670,0,27.04,3,2,0,0.0
CL00275,33,3784,18,0.64,6,3,1,1835.17
CL00276,20,2695,9,4.65,7,1,0,0.0
CL00277,37,2907,17,18.73,5,0,1,2086.51
CL00278,41,5814,11,1.97,3,4,0,0.0
CL00279,50,1780,16,19.35,8,2,1,1557.69
CL00280,41,2019,0,29.52,5,4,0,0.0
CL00281,28,2403,7,26.36,1,0,1,2036.81
CL00282,25,2426,9,17.73,9,0,1,1402.73
CL00283,53,9855,9,26.82,3,1,0,0.0
CL00284,55,6868,17,3.49,2,2,1,2165.83
CL00285,57,1010,8,13.64,3,0,1,1461.02
CL00286,37,7330,1,12.86,7,1,0,0.0
CL00287,52,3825,2,10.09,8,0,0,0.0
CL00288,42,8464,1,0.01,2,1,1,1187.76
CL00289,52,4003,5,26.73,7,4,0,0.0
CL00290,42,8195,11,23.33,5,1,1,2677.72
CL00291,46,7720,18,19.59,9,4,0,0.0
CL00292,35,4088,14,3.87,7,3,0,0.0
CL00293,63,2789,18,11.35,1,0,0,0.0
CL00294,35,4036,11,27.73,1,3,1,2626.73
CL00295,19,8377,17,18.51,6,2,1,2395.43
CL00296,52,8598,15,18.1,9,3,0,0.0
CL00297,33,5838,1,27.39,1,1,0,0.0
CL00298,58,6872,10,16.8,3,1,1,1045.56
CL00299,53,4653,11,17.93,5,2,1,2557.66
CL00300,50,5299,4,10.37,4,2,0,0.0
CL00301,21,1973,5,11.14,1,0,0,0.0
CL00302,50,8083,10,20.57,4,1,0,0.0
CL00303,31,6494,9,9.61,4,2,0,0.0
CL00304,38,4406,3,16.77,4,3,0,0.0
CL00305,37,6150,8,8.38,3,1,1,2656.78
CL00306,25,4129,11,4.98,7,2,0,0.0
CL00307,24,1104,9,13.63,1,0,0,0.0
CL00308,20,8433,13,6.52,2,4,0,0.0
CL00309,34,8689,4,26.95,1,1,0,0.0
CL00310,50,4567,0,9.11,4,1,1,2385.25
CL00311,29,5348,4,17.92,5,1,0,0.0
CL00312,39,5390,15,7.9,5,1,0,0.0
CL00313,39,7811,4,7.74,2,4,0,0.0
CL00314,63,2181,4,10.52,3,4,0,0.0
CL00315,47,5644,17,27.48,4,0,1,2366.64
CL00316,55,6873,5,11.74,6,1,0,0.0
CL00317,55,5394,17,24.64,6,2,1,1238.3
CL00318,62,4534,9,5.92,2,3,1,1516.78
CL00319,25,6844,14,1.45,2,1,0,0.0
CL00320,44,6939,10,23.45,9,4,1,2444.61
CL00321,44,7475,18,16.26,2,0,0,0.0
CL00322,51,2774,12,15.11,2,1,1,1689.53
CL00323,38,9283,19,8.17,3,0,0,0.0
CL00324,47,1446,2,2.17,9,2,0,0.0
CL00325,50,1108,15,14.49,6,2,1,2890.95
CL00326,45,4239,6,26.02,6,2,0,0.0
CL00327,64,6931,11,3.6,5,2,0,0.0
CL00328,50,5053,14,27.88,7,3,1,3175.17
CL00329,22,5537,7,8.24,4,0,0,0.0
CL00330,36,7361,16,15.97,3,1,1,2723.38
CL00331,21,2245,0,2.0,7,3,0,0.0
CL00332,52,3720,7,12.75,1,1,1,2687.71
CL00333,34,9469,13,3.78,6,4,0,0.0
CL00334,61,8741,9,1.44,2,3,0,0.0
CL00335,45,6105,18,29.0,2,3,0,0.0
CL00336,47,3922,7,21.9,8,4,0,0.0
CL00337,46,3513,18,21.57,3,3,0,0.0
CL00338,63,3801,3,2.72,9,0,0,0.0
CL00339,23,7981,9,27.88,4,2,1,3392.16
CL00340,52,9221,2,14.08,6,1,1,3064.26
CL00341,58,7502,3,25.57,1,4,1,2046.5
CL00342,54,7038,15,0.38,3,2,0,0.0
CL00343,41,7229,3,8.95,4,3,0,0.0
CL00344,46,1364,19,29.88,5,0,1,2411.03
CL00345,63,2800,19,12.84,1,3,1,1172.83
CL00346,48,6958,12,26.65,4,4,1,1851.39
CL00347,52,8436,16,9.84,5,3,1,1862.74
CL00348,50,5793,15,15.76,4,0,0,0.0
CL00349,38,9160,16,25.63,7,3,1,3026.12
CL00350,49,1179,5,18.17,8,3,0,0.0
CL00351,40,4873,2,21.76,8,3,0,0.0
CL00352,50,4960,19,6.86,3,3,0,0.0
CL00353,20,2186,3,4.68,5,0,0,0.0
CL00354,35,1773,7,6.91,8,1,0,0.0
CL00355,42,5460,19,14.79,7,2,1,2715.6
CL00356,59,1352,8,24.03,9,4,0,0.0
CL00357,48,7943,0,10.62,7,1,0,0.0
CL00358,20,6202,12,16.94,2,0,1,3482.94
CL00359,57,6344,1,24.14,4,4,0,0.0
CL00360,63,5507,9,7.16,8,4,0,0.0
CL00361,41,5830,18,26.49,9,3,1,2028.14
CL00362,49,1117,16,28.59,7,2,1,2387.73
CL00363,64,1481,12,1.17,5,2,1,1229.81
CL00364,39,5287,13,1.77,1,0,1,1485.29
CL00365,40,7802,10,2.73,9,1,0,0.0
CL00366,19,9298,9,23.3,6,3,0,0.0
CL00367,44,5477,6,5.68,2,2,1,3628.39
CL00368,59,7533,9,21.77,2,3,0,0.0
CL00369,19,1243,0,13.24,1,1,0,0.0
CL00370,43,8012,13,25.09,4,4,1,1751.57
CL00371,34,1865,2,24.26,2,1,1,2202.64
CL00372,57,6329,12,28.79,9,4,1,1108.32
CL00373,50,1603,1,7.53,2,1,0,0.0
CL00374,26,6756,16,6.88,9,3,1,1807.16
CL00375,60,5018,2,0.95,1,1,0,0.0
CL00376,56,6192,14,12.31,7,2,0,0.0
CL00377,46,3015,7,13.77,6,2,0,0.0
CL00378,59,4380,5,28.94,6,0,0,0.0
CL00379,43,4770,8,24.92,2,2,1,2453.62
CL00380,52,6829,10,5.0,1,2,0,0.0
CL00381,42,2613,1,23.95,8,4,0,0.0
CL00382,41,2879,8,5.35,8,3,0,0.0
CL00383,30,6372,17,2.33,2,3,0,0.0
CL00384,24,5108,18,25.11,4,4,0,0.0
CL00385,53,9978,17,29.28,4,2,1,3915.89
CL00386,62,1148,4,2.64,2,1,0,0.0
CL00387,37,2754,17,24.42,9,4,1,1386.56
CL00388,18,8378,11,25.78,4,3,0,0.0
CL00389,25,7681,3,3.56,4,0,1,3077.68
CL00390,63,4756,14,8.5,4,3,0,0.0
CL00391,33,6392,10,22.01,5,1,0,0.0
CL00392,31,4052,18,24.23,8,3,1,1063.94
CL00393,29,6692,4,10.62,4,4,1,1200.24
CL00394,40,5218,5,4.8,3,0,0,0.0
CL00395,32,5803,12,19.45,1,3,0,0.0
CL00396,45,3377,9,21.06,2,4,0,0.0
CL00397,51,6086,13,15.11,4,4,1,1651.26
CL00398,19,4182,3,4.35,9,4,0,0.0
CL00399,49,4160,19,25.33,1,0,1,3372.1
CL00400,40,7576,11,19.36,6,4,0,0.0
CL00401,39,9903,14,26.07,6,0,0,0.0
CL00402,42,3586,9,27.99,3,1,1,3014.61
CL00403,39,3648,10,24.17,9,1,0,0.0
CL00404,39,8313,8,28.76,3,1,1,2902.9
CL00405,59,2717,10,28.63,1,4,0,0.0
CL00406,23,6308,1,18.58,2,0,0,0.0
CL00407,32,8407,12,21.85,4,1,1,3429.85
CL00408,60,1870,7,20.98,4,2,1,2242.7
CL00409,54,4574,7,18.63,2,1,0,0.0
CL00410,50,6827,0,0.58,6,4,0,0.0
CL00411,25,8986,5,10.68,6,2,1,3709.38
CL00412,61,9462,12,3.0,3,3,1,3967.26
CL00413,61,9741,8,9.01,1,2,0,0.0
CL00414,22,6769,5,2.06,9,3,0,0.0
CL00415,56,6733,14,27.6,4,2,0,0.0
CL00416,21,4240,15,13.54,9,0,1,3341.38
CL00417,23,5893,3,5.68,5,2,1,2802.34
CL00418,62,1886,16,17.54,7,1,1,561.13
CL00419,49,6854,8,5.89,3,3,1,1201.42
CL00420,47,6318,11,24.13,3,3,1,3676.16
CL00421,64,3258,18,9.18,8,1,1,3211.31
CL00422,52,5382,19,9.45,1,0,0,0.0
CL00423,57,2785,11,26.1,8,2,0,0.0
CL00424,33,8727,5,16.78,8,0,0,0.0
CL00425,30,1295,11,26.62,3,1,1,2493.78
CL00426,59,3597,8,12.39,1,2,0,0.0
CL00427,47,1680,19,10.32,9,1,1,2704.16
CL00428,36,5890,4,15.19,4,3,1,2186.91
CL00429,34,5298,2,1.84,7,3,1,2122.98
CL00430,36,1324,1,4.63,9,3,1,1641.89
CL00431,45,8952,7,6.59,3,4,0,0.0
CL00432,43,1986,9,24.5,5,4,1,1106.04
CL00433,54,4118,14,22.01,3,3,0,0.0
CL00434,43,1760,8,5.8,5,4,0,0.0
CL00435,40,8758,9,8.3,2,4,1,3528.71
CL00436,26,1906,10,28.33,4,1,0,0.0
CL00437,29,6499,8,2.57,2,2,1,1754.35
CL00438,18,1364,13,16.42,3,3,0,0.0
CL00439,18,8769,4,15.66,5,4,0,0.0
CL00440,64,4413,8,21.77,9,1,1,1954.92
CL00441,51,9027,3,7.84,3,1,1,3735.1
CL00442,49,8939,1,28.04,6,2,0,0.0
CL00443,42,4081,18,12.32,4,1,0,0.0
CL00444,57,6448,0,8.57,4,0,1,818.24
CL00445,62,4258,0,10.11,5,0,0,0.0
CL00446,18,3107,11,10.46,7,3,1,2527.62
CL00447,33,8928,10,5.97,4,2,0,0.0
CL00448,56,3933,0,27.84,8,0,0,0.0
CL00449,22,3829,13,5.25,9,2,0,0.0
CL00450,39,9633,10,26.48,9,3,0,0.0
CL00451,46,6006,6,12.15,9,1,0,0.0
CL00452,20,2559,1,8.08,2,1,1,1912.15
CL00453,29,2741,14,5.96,3,1,1,1204.12
CL00454,43,6830,7,15.13,5,0,0,0.0
CL00455,33,8523,19,20.08,1,2,0,0.0
CL00456,54,1625,14,26.95,4,0,1,693.14
CL00457,39,2690,7,19.57,5,4,0,0.0
CL00458,46,9282,9,14.51,9,2,1,2162.75
CL00459,31,7310,18,1.0,8,3,0,0.0
CL00460,45,4006,2,27.46,1,0,1,1955.61
CL00461,22,5302,19,27.07,3,1,0,0.0
CL00462,64,2088,13,11.36,3,1,0,0.0
CL00463,47,7007,8,0.87,6,1,0,0.0
CL00464,63,5611,8,22.0,4,0,1,2174.32
CL00465,22,8928,5,23.75,4,0,0,0.0
CL00466,29,5490,7,16.27,1,1,0,0.0
CL00467,33,9378,10,12.09,4,1,1,2985.1
CL00468,43,2597,7,25.53,1,1,0,0.0
CL00469,43,4747,11,5.78,5,4,1,1516.53
CL00470,38,3670,9,13.19,3,0,1,2498.65
CL00471,56,9431,3,0.73,5,1,0,0.0
CL00472,53,3580,15,4.92,3,3,1,2332.66
CL00473,50,8432,19,28.22,5,1,1,1334.06
CL00474,47,9330,5,17.34,4,0,0,0.0
CL00475,54,3506,8,24.17,9,3,0,0.0
CL00476,40,5725,4,14.6,6,0,0,0.0
CL00477,27,5300,5,25.04,2,0,0,0.0
CL00478,22,9759,16,16.17,1,0,0,0.0
CL00479,53,8002,16,0.14,1,2,1,2228.48
CL00480,51,7131,12,26.99,1,3,0,0.0
CL00481,48,9831,16,4.46,9,4,0,0.0
CL00482,27,5537,13,13.52,5,4,1,1302.39
CL00483,36,3335,1,14.3,4,2,0,0.0
CL00484,49,5321,18,1.42,5,0,0,0.0
CL00485,18,3985,2,1.59,9,4,1,2003.08
CL00486,22,1559,1,22.88,3,3,0,0.0
CL00487,62,1713,1,9.01,3,1,0,0.0
CL00488,21,5593,6,12.29,2,3,0,0.0
CL00489,33,4988,3,16.92,8,0,0,0.0
CL00490,41,7203,16,11.2,7,3,1,3088.54
CL00491,33,1256,5,23.25,2,0,1,2249.76
CL00492,19,9768,6,26.53,4,3,1,3600.34
CL00493,45,1037,19,1.79,7,2,0,0.0
CL00494,49,9652,5,19.06,1,3,0,0.0
CL00495,44,2832,8,9.53,1,4,0,0.0
CL00496,37,8600,19,17.5,8,1,1,1441.98
CL00497,41,6167,3,14.52,6,2,1,1843.47
CL00498,29,1432,4,10.01,2,3,1,2316.47
CL00499,52,5151,18,2.84,1,0,1,2359.91
CL00500,50,7411,9,16.78,3,2,0,0.0
CL00501,50,2751,17,3.38,4,4,1,2770.64
CL00502,60,5997,14,4.68,5,1,0,0.0
CL00503,54,6720,0,29.47,3,1,0,0.0
CL00504,29,8616,4,9.5,5,3,1,2897.01
CL00505,20,1256,4,17.53,7,4,0,0.0
CL00506,18,1671,7,8.17,9,4,1,739.53
CL00507,50,1489,19,25.97,5,1,0,0.0
CL00508,57,7889,14,8.5,4,1,0,0.0
CL00509,27,3096,16,11.01,9,4,1,1586.68
CL00510,60,2682,18,18.25,8,1,0,0.0
CL00511,61,3460,12,26.1,5,0,0,0.0
CL00512,46,5529,9,24.49,9,1,0,0.0
CL00513,30,6121,16,7.92,9,0,0,0.0
CL00514,29,2975,4,24.89,1,1,0,0.0
CL00515,48,4216,17,21.04,6,2,1,2506.66
CL00516,63,5515,16,29.69,5,2,1,2468.38
CL00517,19,6692,3,28.06,6,2,1,1907.15
CL00518,52,5939,6,15.99,3,0,1,3355.45
CL00519,40,6563,4,22.5,3,0,1,2965.53
CL00520,34,3963,7,17.11,5,3,0,0.0
CL00521,43,5529,7,17.85,7,3,1,3538.66
CL00522,25,7786,10,3.05,4,1,0,0.0
CL00523,46,7200,8,0.07,6,0,0,0.0
CL00524,43,1976,18,1.45,5,2,1,792.64
CL00525,27,8345,18,29.0,2,2,1,1130.19
